,DRUG_NAME,DRUG_NAME_ALT,SMILES,drug_id
11537,BRD-K40452672,,COC(=O)c1ccc(C)c(c1)[N+]([O-])=O,202.0
11603,BRD-K03733027,,Cc1[nH]c(=O)c(C(O)=O)c2CCCc12,203.0
11669,BRD-K37540286,,OC(=O)c1cc(F)ccc1-n1cccc1,204.0
11735,BRD-K80767129,,CN(CCO)c1ncnc2ccccc12,205.0
11801,BRD-K22285078,,N#Cc1ccc(CN2CCOCC2)cc1,206.0
11867,BRD-K62297765,,Cc1c(C#N)c(=O)oc2ccccc12,207.0
11933,BRD-K29738524,,NCCn1cccn1,208.0
11999,BRD-K01292099,,O=C(Nc1ccccc1)c2ccco2,209.0
12065,BRD-K63815305,,CC(=O)Nc1nc2CCCCc2s1,210.0
12131,BRD-K71332979,,CCOC(=O)c1cccc(n1)C(O)=O,211.0
12197,BRD-K94108518,,OC(=O)Cc1c[nH]c2ccc(F)cc12,212.0
12263,BRD-K17129918,,Cn1ncc(N)c1-c1ccccc1,213.0
12329,BRD-K90894747,,CC(=O)c1ccc2NC(=O)C(C)(C)c2c1,214.0
12395,BRD-K14286087,,Fc1ccc(cc1)-c1cnc2CCCn12,215.0
12461,BRD-K69599062,,OC(=O)c1ccc(F)c(c1)[N+]([O-])=O,216.0
12527,BRD-K30161906,,CSc1nnc(c(=O)[nH]1)C(C)(C)C,217.0
12593,BRD-K31994569,,CC1(C)Cc2sc(=O)nc(N)c2C1,218.0
12659,BRD-K27744206,,O\N=C1/C(=O)Nc2ccc(F)cc12,219.0
12725,BRD-K15417285,,O=C(NC1CC1)Nc1ccccc1C#N,220.0
12791,BRD-K98085168,,CC(=O)Nc1c(C)cc(N)cc1C,221.0
12857,BRD-K82638970,,OC(=O)C1(CCCCC1)c1ccccc1,222.0
12923,BRD-K47396444,,COc1cccc2c(CC(C)=O)c[nH]c12,223.0
12989,BRD-K86203230,,Nc1c(cnn1-c1ccccc1F)C#N,224.0
13055,BRD-K03724765,,CC(=O)c1ccc(Cl)c(N)c1,225.0
13121,BRD-K02497608,,CCOC(=O)Cc1n[nH]c(=O)[nH]c1=O,226.0
13187,BRD-K69257701,,CCCCCCNc1cn[nH]c(=O)n1,227.0
13253,BRD-A18028012,,OCCNC(C#N)c1ccc(F)cc1,228.0
13319,BRD-K51952729,,CC(=O)Nc1ccc(CCN)cc1,229.0
13385,BRD-K39485108,,O=c1sc2ccccc2n1CCC#N,230.0
13451,BRD-K64078941,,CC(F)(F)c1cccc(CC(O)=O)c1,231.0
13517,BRD-K17769723,,Cc1cccc2c(O)c(cnc12)C(O)=O,232.0
13583,BRD-K78146255,,[O-][N+](=O)c1ccc(Br)cc1,233.0
13649,BRD-K00932586,,C1CCC(CC1)c1ncc2ccccn12,234.0
13715,BRD-K25910986,,CC(=O)Nc1cc(Cl)ccc1C,235.0
13781,BRD-K20286193,,NNC(=O)c1cccc(c1)[N+]([O-])=O,236.0
13847,BRD-K73237022,,CCCOc1cc(C)c(N)cc1C,237.0
13913,BRD-K98887317,,[O-][N+](=O)c1ccc(Cl)nc1Cl,238.0
13979,BRD-K25996013,,CC(=O)c1ccc(o1)-c1ccc(F)cc1,239.0
14045,BRD-K51242814,,FC(F)(F)C(=O)NCc1ccccc1,240.0
14111,BRD-A19832370,,CN1C(=O)C(CC#N)c2ccccc12,241.0
14177,BRD-K84889346,,COC(=O)c1cc2sccc2[nH]1,242.0
14243,BRD-K48325775,,CC(C)(C)OC(=O)N1CCNC(=O)C1,243.0
14309,BRD-K34376116,,CCCNc1nnc(C)c(=O)[nH]1,244.0
14375,BRD-K54833169,,O=C(Cc1ccccc1)c1ccccc1,245.0
14441,BRD-K06654664,,CS(=O)(=O)c1nnc(N)s1,246.0
14507,BRD-K51088934,,NCC(=O)NC1CCCCC1,247.0
14573,BRD-K04359439,,Cn1cnnc1-c1ccc(cc1)[N+]([O-])=O,248.0
14639,BRD-A00134384,,NC(C#N)c1ccc(Cl)cc1,249.0
14705,BRD-K14913565,,NC1(CCC1)c1ccc(F)cc1,250.0
14771,BRD-K41299262,,CSCc1nc(cc(=O)[nH]1)C(O)=O,251.0
14837,BRD-K66314827,,Nc1nc2ccc(F)cc2s1,252.0
14903,BRD-K82004476,,CC(C)(C)C(=O)Nc1ccccc1F,253.0
14969,BRD-K69390371,,OC(=O)CCCCc1ccc(F)cc1,254.0
15035,BRD-K48693713,,CCOc1ccccc1C(C)=O,255.0
15101,BRD-K11900476,,Nc1ccc(cc1Cl)-n1cccc1,256.0
15167,BRD-K41878122,,Cc1cc2cc(ccc2[nH]c1=O)[N+]([O-])=O,257.0
15233,BRD-K48043879,,Cc1cc(O)c2c(C)ccc(C)c2n1,258.0
15299,BRD-A51222353,,C1CNCC(C1)c1nc2ccccc2[nH]1,259.0
15365,BRD-K82964588,,COC(=O)c1ccc(s1)C(=O)OC,260.0
